Tour, Faim, Pensee
0,-5,1
1,0,2
2,5,3
3,10,4
4,10,4
5,11,4
6,12,4
7,13,4
8,14,4
9,15,4
10,16,4
11,17,4
12,17,4
13,15,4
14,13,4
15,11,4
16,9,4
17,7,4
18,5,4
19,3,4
20,1,4
21,-1,4
22,-1,4
23,4,5
24,9,6
25,14,7
26,14,7
27,15,7
28,16,7
29,17,7
30,18,7
31,19,7
32,20,7
33,21,7
34,21,7
35,19,7
36,17,7
37,15,7
38,13,7
39,11,7
40,9,7
41,7,7
42,5,7
43,3,7
44,1,7
45,-1,7
46,-1,7
47,4,8
48,9,9
49,14,10
50,14,10
51,15,10
52,16,10
53,17,10
54,18,10
55,19,10
56,20,10
57,21,10
58,21,10
59,19,10
60,17,10
61,15,10
62,13,10
63,11,10
64,9,10
65,7,10
66,5,10
67,3,10
68,1,10
69,-1,10
70,-1,10
71,4,11
72,9,12
73,14,13
74,14,13
75,15,13
76,16,13
77,17,13
78,18,13
79,19,13
80,20,13
81,21,13
82,22,13
83,22,13
84,20,13
85,18,13
86,16,13
87,14,13
88,12,13
89,10,13
90,8,13
91,6,13
92,4,13
93,2,13
94,0,13
95,0,13
96,5,14
97,10,15
98,10,15
99,11,15
100,12,15
101,13,15
102,14,15
103,15,15
104,16,15
105,17,15
106,18,15
107,19,15
108,20,15
109,21,15
110,22,15
111,22,15
112,20,15
113,18,15
114,16,15
115,14,15
116,12,15
117,10,15
118,8,15
119,6,15
120,4,15
121,2,15
122,0,15
123,0,15
124,5,16
125,10,17
126,10,17
127,11,17
128,12,17
129,13,17
130,14,17
131,15,17
132,16,17
133,17,17
134,18,17
135,19,17
136,20,17
137,20,17
138,18,17
139,16,17
140,14,17
141,12,17
142,10,17
143,8,17
144,6,17
145,4,17
146,2,17
147,0,17
148,0,17
149,5,18
150,10,19
151,10,19
152,11,19
153,12,19
154,13,19
155,14,19
156,15,19
157,16,19
158,17,19
159,18,19
160,19,19
161,20,19
162,20,19
163,18,19
164,16,19
165,14,19
166,12,19
167,10,19
168,8,19
169,6,19
170,4,19
171,2,19
172,0,19
173,0,19
174,5,20
175,10,21
176,10,21
177,11,21
178,12,21
179,13,21
180,14,21
181,15,21
182,16,21
183,17,21
184,18,21
185,19,21
186,20,21
187,21,21
188,22,21
189,23,21
190,24,21
191,25,21
192,26,21
193,27,21
194,28,21
195,29,21
196,30,21
197,31,21
198,31,21
199,29,21
200,27,21
201,25,21
202,23,21
203,21,21
204,19,21
205,17,21
206,15,21
207,13,21
208,11,21
209,9,21
210,7,21
211,5,21
212,3,21
213,1,21
214,-1,21
215,-1,21
216,4,22
217,9,23
218,14,24
219,14,24
220,15,24
221,16,24
222,17,24
223,18,24
224,19,24
225,20,24
226,21,24
227,22,24
228,23,24
229,24,24
230,25,24
231,26,24
232,27,24
233,28,24
234,29,24
235,30,24
236,31,24
237,31,24
238,29,24
239,27,24
240,25,24
241,23,24
242,21,24
243,19,24
244,17,24
245,15,24
246,13,24
247,11,24
248,9,24
249,7,24
250,5,24
251,3,24
252,1,24
253,-1,24
254,-1,24
255,4,25
256,9,26
257,14,27
258,14,27
259,15,27
260,16,27
261,17,27
262,18,27
263,19,27
264,20,27
265,21,27
266,22,27
267,23,27
268,24,27
269,25,27
270,26,27
271,27,27
272,28,27
273,29,27
274,30,27
275,31,27
276,32,27
277,32,27
278,30,27
279,28,27
280,26,27
281,24,27
282,22,27
283,20,27
284,18,27
285,16,27
286,14,27
287,12,27
288,10,27
289,8,27
290,6,27
291,4,27
292,2,27
293,0,27
294,0,27
295,5,28
296,10,29
297,10,29
298,11,29
299,12,29
300,13,29
301,14,29
302,15,29
303,16,29
304,17,29
305,18,29
306,19,29
307,20,29
308,21,29
309,22,29
310,23,29
311,24,29
312,25,29
313,26,29
314,27,29
315,28,29
316,29,29
317,30,29
318,31,29
319,32,29
320,33,29
321,34,29
322,35,29
323,35,29
324,33,29
325,31,29
326,29,29
327,27,29
328,25,29
329,23,29
330,21,29
331,19,29
332,17,29
333,15,29
334,13,29
335,11,29
336,9,29
337,7,29
338,5,29
339,3,29
340,1,29
341,-1,29
342,-1,29
343,4,30
344,9,31
345,14,32
346,14,32
347,15,32
348,16,32
349,17,32
350,18,32
351,19,32
352,20,32
353,21,32
354,22,32
355,23,32
356,24,32
357,25,32
358,26,32
359,26,32
360,24,32
361,22,32
362,20,32
363,18,32
364,16,32
365,14,32
366,12,32
367,10,32
368,8,32
369,6,32
370,4,32
371,2,32
372,0,32
373,0,32
374,5,33
375,10,34
376,10,34
377,11,34
378,12,34
379,13,34
380,14,34
381,15,34
382,16,34
383,17,34
384,18,34
385,19,34
386,20,34
387,21,34
388,22,34
389,23,34
390,24,34
391,25,34
392,26,34
393,27,34
394,28,34
395,29,34
396,30,34
397,31,34
398,32,34
399,33,34
400,34,34
401,34,34
402,32,34
403,30,34
404,28,34
405,26,34
406,24,34
407,22,34
408,20,34
409,18,34
410,16,34
411,14,34
412,12,34
413,10,34
414,8,34
415,6,34
416,4,34
417,2,34
418,0,34
419,0,34
420,5,35
421,10,36
422,10,36
423,11,36
424,12,36
425,13,36
426,14,36
427,15,36
428,16,36
429,17,36
430,18,36
431,19,36
432,20,36
433,21,36
434,22,36
435,23,36
436,24,36
437,25,36
438,26,36
439,27,36
440,27,36
441,25,36
442,23,36
443,21,36
444,19,36
445,17,36
446,15,36
447,13,36
448,11,36
449,9,36
450,7,36
451,5,36
452,3,36
453,1,36
454,-1,36
455,-1,36
456,4,37
457,9,38
458,14,39
459,14,39
460,15,39
461,16,39
462,17,39
463,18,39
464,19,39
465,20,39
466,21,39
467,22,39
468,23,39
469,24,39
470,25,39
471,26,39
472,27,39
473,28,39
474,29,39
475,30,39
476,31,39
477,32,39
478,33,39
479,34,39
480,35,39
481,36,39
482,37,39
483,38,39
484,38,39
485,36,39
486,34,39
487,32,39
488,30,39
489,28,39
490,26,39
491,24,39
492,22,39
493,20,39
494,18,39
495,16,39
496,14,39
497,12,39
498,10,39
499,8,39
500,6,39
501,4,39
502,2,39
503,0,39
504,0,39
505,5,40
506,10,41
507,10,41
508,11,41
509,12,41
510,13,41
511,14,41
512,15,41
513,16,41
514,17,41
515,18,41
516,19,41
517,20,41
518,21,41
519,22,41
520,23,41
521,24,41
522,25,41
523,26,41
524,27,41
525,28,41
526,29,41
527,30,41
528,31,41
529,32,41
530,33,41
531,33,41
532,31,41
533,29,41
534,27,41
535,25,41
536,23,41
537,21,41
538,19,41
539,17,41
540,15,41
541,13,41
542,11,41
543,9,41
544,7,41
545,5,41
546,3,41
547,1,41
548,-1,41
549,-1,41
550,4,42
551,9,43
552,14,44
553,14,44
554,15,44
555,16,44
556,17,44
557,18,44
558,19,44
559,20,44
560,21,44
561,22,44
562,23,44
563,24,44
564,25,44
565,26,44
566,27,44
567,28,44
568,29,44
569,30,44
570,31,44
571,31,44
572,29,44
573,27,44
574,25,44
575,23,44
576,21,44
577,19,44
578,17,44
579,15,44
